#WAVELENGTH FLUX
1000 5.50910259089574e-17
1001 5.5091298775991986e-17
1002 5.5091510140075773e-17
1003 5.509162722369834e-17
1004 5.509166858729018e-17
1005 5.509163963072653e-17
1006 5.5091536448097733e-17
1007 5.50913819182355e-17
1008 5.50911554920668e-17
1009 5.5090891145663135e-17
1010 5.509055243681705e-17
1011 5.5090172369071596e-17
1012 5.508975011083824e-17
1013 5.5089288228846676e-17
1014 5.5088800503267976e-17
1015 5.508828653863713e-17
1016 5.508773998413236e-17
1017 5.508716529876888e-17
1018 5.5086549922582236e-17
1019 5.508586255538517e-17
1020 5.5085032327883905e-17
1021 5.508393325662246e-17
1022 5.508230952787179e-17
1023 5.5079548605422215e-17
1024 5.507473589755058e-17
1025 5.506923719069084e-17
1026 5.507422784695476e-17
1027 5.5079763219513326e-17
1028 5.5083454597025426e-17
1029 5.50858956269052e-17
1030 5.5087823952969125e-17
1031 5.5089723934246346e-17
1032 5.509142575638012e-17
1033 5.509298364981326e-17
1034 5.509426763949646e-17
1035 5.509560064941086e-17
1036 5.5097558483817444e-17
1037 5.5100194651265634e-17
1038 5.51027370019249e-17
1039 5.5105058043695933e-17
1040 5.5106971445205616e-17
1041 5.510896534872923e-17
1042 5.5110720965907075e-17
1043 5.511244203437888e-17
1044 5.51142318720603e-17
1045 5.511612919791261e-17
1046 5.511808111924183e-17
1047 5.511971779275143e-17
1048 5.512136068975998e-17
1049 5.5123195191896086e-17
1050 5.5124745141062707e-17
1051 5.512592344133363e-17
1052 5.5126999881359874e-17
1053 5.5127969888132686e-17
1054 5.5128955821839937e-17
1055 5.512998571143156e-17
1056 5.5130715439150684e-17
1057 5.513117178164358e-17
1058 5.513188710566541e-17
1059 5.513319528858695e-17
1060 5.5134992112556035e-17
1061 5.513732011388783e-17
1062 5.514027082824932e-17
1063 5.5143484298863554e-17
1064 5.514626653017651e-17
1065 5.514851074952688e-17
1066 5.5150503386024215e-17
1067 5.515233273928206e-17
1068 5.515345279377655e-17
1069 5.51537644888134e-17
1070 5.5154026908943904e-17
1071 5.515461843508544e-17
1072 5.5155382220292626e-17
1073 5.5155972681630475e-17
1074 5.5156273552969335e-17
1075 5.5156554892372407e-17
1076 5.5157354716109046e-17
1077 5.515897813336744e-17
1078 5.516152035631799e-17
1079 5.5164733762571094e-17
1080 5.5168222937756756e-17
1081 5.517157808832364e-17
1082 5.5174570803185345e-17
1083 5.5177084415163385e-17
1084 5.5179179595010395e-17
1085 5.5180922305560976e-17
1086 5.518247548815902e-17
1087 5.518389214005535e-17
1088 5.5185197262797666e-17
1089 5.518649773849189e-17
1090 5.5187945167160473e-17
1091 5.518945910004979e-17
1092 5.519095840339583e-17
1093 5.519244376673779e-17
1094 5.5193928698945604e-17
1095 5.519542485485099e-17
1096 5.519692760245178e-17
1097 5.519843035005257e-17
1098 5.5199933097653356e-17
1099 5.520144007915735e-17
1100 5.520276267062956e-17
1101 5.520396590000319e-17
1102 5.5205175560523755e-17
1103 5.520638874583315e-17
1104 5.520760572275906e-17
1105 5.5208846024827956e-17
1106 5.521010486139079e-17
1107 5.521136488373799e-17
1108 5.5212648143505055e-17
1109 5.521394935769887e-17
1110 5.521567431225666e-17
1111 5.5217657277618376e-17
1112 5.5219657674190177e-17
1113 5.522167113609783e-17
1114 5.5223699056783717e-17
1115 5.522574487260302e-17
1116 5.5227819788069976e-17
1117 5.522991837434779e-17
1118 5.523203812621712e-17
1119 5.523420878490989e-17
1120 5.523639676972279e-17
1121 5.523862589258066e-17
1122 5.524085904731426e-17
1123 5.5243093028458244e-17
1124 5.5245258093367425e-17
1125 5.524687071780309e-17
1126 5.524840439842191e-17
1127 5.524995105164471e-17
1128 5.5251521116433943e-17
1129 5.525310704168895e-17
1130 5.525464794924149e-17
1131 5.525616126529897e-17
1132 5.5257650623857324e-17
1133 5.5259086657659565e-17
1134 5.52604661884129e-17
1135 5.5261753529981173e-17
1136 5.526295915238157e-17
1137 5.526406884358487e-17
1138 5.52651162488726e-17
1139 5.5266110595787797e-17
1140 5.526701833157683e-17
1141 5.526787069303932e-17
1142 5.5268624157288316e-17
1143 5.5269370294090537e-17
1144 5.5270084659685343e-17
1145 5.527063593240415e-17
1146 5.527108961624237e-17
1147 5.5271479155798494e-17
1148 5.527171902536304e-17
1149 5.527197390236482e-17
1150 5.5271938312543544e-17
1151 5.527176812856299e-17
1152 5.52715394089268e-17
1153 5.527119175741695e-17
1154 5.5270844105907107e-17
1155 5.527037513618306e-17
1156 5.526981756231638e-17
1157 5.52692599884497e-17
1158 5.5268635995568577e-17
1159 5.5268005433773927e-17
1160 5.526738038698342e-17
1161 5.526675886617917e-17
1162 5.526613734537492e-17
1163 5.526551582457067e-17
1164 5.5264910279965627e-17
1165 5.526416737019839e-17
1166 5.5263399580394224e-17
1167 5.526258451797073e-17
1168 5.5261640005577904e-17
1169 5.524159542393904e-17
1170 3.480712070598269e-17
1171 1.4142869001206597e-17
1172 1.4054746932395523e-17
1173 1.0004246324585274e-17
1174 2.425169974991137e-17
1175 3.801001761873272e-16
1176 5.27336926129884e-16
1177 1.7583699378440448e-16
1178 1.2652782671342885e-17
1179 9.068517376843978e-18
1180 6.09631776977094e-18
1181 8.10525196081966e-18
1182 7.913569051319821e-18
1183 7.850152574572722e-18
1184 9.639843613895512e-18
1185 7.201754330917424e-18
1186 6.540625628893428e-18
1187 1.2011708595284643e-17
1188 1.4935753677817335e-17
1189 2.3737036890464646e-17
1190 3.7720603684990406e-17
1191 2.79161671116382e-17
1192 1.5189752495637256e-17
1193 3.3983490161475575e-17
1194 5.990498228241833e-17
1195 4.2445839916911064e-17
1196 1.3162449728294472e-17
1197 2.2570177323573876e-17
1198 3.1035084600398236e-17
1199 2.934629026475884e-17
1200 3.2833024550892765e-17
1201 3.225678955324183e-17
1202 2.893834528668689e-17
1203 1.9719143745108002e-17
1204 2.202170741601243e-17
1205 2.6325384135849905e-17
1206 4.1426149621885733e-16
1207 4.2843026801959136e-16
1208 4.522504315712227e-17
1209 5.84413840640255e-17
1210 7.650340563195693e-17
1211 1.1122551331359123e-16
1212 2.0115543914753482e-16
1213 4.444388528931093e-16
1214 2.1158236958578624e-15
1215 5.1786980160277395e-14
1216 6.749704278524388e-14
1217 1.836285323897128e-14
1218 1.1309547961463321e-15
1219 4.488034311426182e-16
1220 1.6207345488354094e-16
1221 9.907571001368321e-17
1222 6.596690549286089e-17
1223 4.678254159047315e-17
1224 3.593318635009528e-17
1225 3.041449891066081e-17
1226 2.5521145641038707e-17
1227 2.3633085738530024e-17
1228 2.4012834433532132e-17
1229 1.9903413007564298e-17
1230 2.018759414588803e-17
1231 2.0116290725305045e-17
1232 1.3786747765111555e-17
1233 1.4151451052536757e-17
1234 1.4094010185353406e-17
1235 1.1027794952941566e-17
1236 1.086709151807427e-17
