#WAVELENGTH FLUX
1001.0 1.3109519125004888e-17
1002.0 1.3121249475657429e-17
1003.0 1.313297982630997e-17
1004.0 1.314471017696251e-17
1005.0 1.3156440527615051e-17
1006.0 1.3168170878267591e-17
1007.0 1.3179901228920131e-17
1008.0 1.3191631579572673e-17
1009.0 1.3203361930225215e-17
1010.0 1.3215092280877755e-17
1011.0 1.3226822631530295e-17
1012.0 1.3238552982182837e-17
1013.0 1.3250283332835377e-17
1014.0 1.3262013683487917e-17
1015.0 1.3273744034140458e-17
1016.0 1.3285474384793e-17
1017.0 1.329720473544554e-17
1018.0 1.330893508609808e-17
1019.0 1.3320665436750622e-17
1020.0 1.3332395787403162e-17
1021.0 1.3344126138055702e-17
1022.0 1.3355856488708244e-17
1023.0 1.3367586839360785e-17
1024.0 1.3379317190013326e-17
1025.0 1.3391047540665866e-17
1026.0 1.3402777891318407e-17
1027.0 1.3414508241970947e-17
1028.0 1.3426238592623488e-17
1029.0 1.343796894327603e-17
1030.0 1.3449699293928571e-17
1031.0 1.3461429644581111e-17
1032.0 1.3473159995233651e-17
1033.0 1.3484890345886193e-17
1034.0 1.3496620696538733e-17
1035.0 1.3508351047191273e-17
1036.0 1.3520081397843815e-17
1037.0 1.3531811748496356e-17
1038.0 1.3543542099148896e-17
1039.0 1.3555272449801437e-17
1040.0 1.3567002800453978e-17
1041.0 1.3578733151106518e-17
1042.0 1.3590463501759058e-17
1043.0 1.36021938524116e-17
1044.0 1.3613924203064142e-17
1045.0 1.3625654553716682e-17
1046.0 1.3637384904369222e-17
1047.0 1.3649115255021764e-17
1048.0 1.3660845605674304e-17
1049.0 1.3672575956326844e-17
1050.0 1.3684306306979386e-17
1051.0 1.3696036657631927e-17
1052.0 1.3707767008284467e-17
1053.0 1.3719497358937007e-17
1054.0 1.3731227709589549e-17
1055.0 1.3742958060242089e-17
1056.0 1.375468841089463e-17
1057.0 1.3766418761547171e-17
1058.0 1.3778149112199713e-17
1059.0 1.3789879462852253e-17
1060.0 1.3801609813504793e-17
1061.0 1.3813340164157334e-17
1062.0 1.3825070514809875e-17
1063.0 1.3836800865462415e-17
1064.0 1.3848531216114956e-17
1065.0 1.3860261566767498e-17
1066.0 1.3871991917420037e-17
1067.0 1.3883722268072578e-17
1068.0 1.389545261872512e-17
1069.0 1.390718296937766e-17
1070.0 1.39189133200302e-17
1071.0 1.3930643670682742e-17
1072.0 1.3942374021335283e-17
1073.0 1.3954104371987822e-17
1074.0 1.3965834722640364e-17
1075.0 1.3977565073292905e-17
1076.0 1.3989295423945447e-17
1077.0 1.4001025774597986e-17
1078.0 1.4012756125250527e-17
1079.0 1.402448647590307e-17
1080.0 1.4036216826555607e-17
1081.0 1.404794717720815e-17
1082.0 1.405967752786069e-17
1083.0 1.407140787851323e-17
1084.0 1.408313822916577e-17
1085.0 1.4094868579818313e-17
1086.0 1.4106598930470854e-17
1087.0 1.4118329281123393e-17
1088.0 1.4130059631775935e-17
1089.0 1.4141789982428476e-17
1090.0 1.4153520333081015e-17
1091.0 1.4165250683733556e-17
1092.0 1.4176981034386098e-17
