#WAVELENGTH FLUX ERROR
1665.8453009714938 -8.50682990673639e-15 1.0591439365118093e-14
1667.2157185485162 -3.785536834559148e-15 1.0071553053136806e-14
1668.5861510475625 -2.5509232585731662e-15 9.505078709067669e-15
1669.9565984372207 -4.243094749557014e-15 9.11130511704524e-15
1671.3270606860776 -2.5070592693810734e-15 8.972587599296202e-15
1672.6975377627139 -3.54157614186937e-15 8.800268783748356e-15
1674.0680296357086 -4.631926704077577e-15 8.186616173199673e-15
1675.4385362736368 -5.624087710719314e-15 8.008279198042506e-15
1676.8090576450707 -7.326177621862397e-15 7.792879191264143e-15
1678.179593718578 -6.582968959335712e-15 7.53727485920009e-15
1679.5501444627237 -4.8565737561928595e-15 7.50464744684837e-15
1680.9207098460695 -3.329457238004475e-15 6.9443420884943635e-15
1682.2912898371735 -3.2506705459006255e-15 6.602060331452044e-15
1683.6618844045906 -4.792630280410573e-15 6.474640566509736e-15
1685.032493516872 -4.434324728526575e-15 6.281678396874894e-15
1686.4031171425656 -1.834093007196594e-15 6.4596553500902605e-15
1687.773755250217 -2.859823694741612e-15 6.181652444763697e-15
1689.144407808366 -5.100725473210322e-15 6.3394286095826445e-15
1690.5150747855519 -1.9031234888928316e-15 8.02005796106426e-15
1691.8857561503087 1.8876030171081412e-15 5.563652514663723e-15
1693.256451871168 2.1397033939393006e-15 5.3916256193849705e-15
1694.627161916658 -6.596953602460722e-16 5.690866116396272e-15
1695.997886255303 -3.570123172099972e-15 5.06873847039905e-15
1697.3686248556244 1.651076597648497e-16 5.044439836816417e-15
1698.7393776861406 5.58503851302919e-15 5.264896041706193e-15
1700.1101447153665 6.681083277887559e-15 5.255486509224372e-15
1701.4809259118128 4.904601921345687e-15 5.246118913575147e-15
1702.8517212439885 -8.975014964663556e-16 4.611991013018644e-15
1704.222530680399 -3.5160457814939672e-15 4.671860637403694e-15
1705.593354189545 -5.669780983650261e-16 4.844116359200719e-15
1706.9641917399254 -4.482497330973231e-16 4.485211532761497e-15
1708.3350433000353 -1.0694587187731588e-15 4.281581782355145e-15
1709.705908838367 -2.7050844803293857e-16 4.2809105480904915e-15
1711.0767883234087 -2.005520616032239e-16 4.083707643582176e-15
1712.4476817236462 -1.2526880485677656e-16 4.190453031728526e-15
1713.818589007562 -9.620344143731352e-16 4.0538014677209984e-15
1715.1895101436346 2.8685392089098033e-16 4.555447324514772e-15
1716.5604451003403 3.903658330915552e-15 4.2047453265465496e-15
1717.9313938461523 2.878211656784928e-15 3.97393807419765e-15
1719.3023563495387 2.0736854208937242e-15 3.7719058617071646e-15
1720.6733325789671 2.809727765650726e-15 3.955914971847628e-15
1722.0443225028994 -2.299365127331805e-15 3.9368073865450604e-15
1723.4153260897965 -3.937109019093742e-15 4.094605125591895e-15
1724.786343308115 -1.6836522399059757e-15 6.388067348039006e-15
1726.1573741263082 -3.1628876627291014e-15 3.803493485963037e-15
1727.5284185128269 -2.6040431647708756e-15 3.790140992619375e-15
1728.8994764361182 -5.318041585470242e-16 3.639507261281694e-15
1730.2705478646262 1.918842730096069e-16 4.450912962743981e-15
1731.641632766792 6.59682470333362e-16 3.434712526403046e-15
1733.0127311110539 -1.5501830564602246e-15 3.2643714952934057e-15
1734.3838428658466 -2.2187754421905265e-15 3.3462314744170555e-15
1735.7549679996016 -2.8527675249382506e-16 3.4028987504604573e-15
1737.1261064807477 -2.8699451995417966e-15 3.2010909380598553e-15
1738.4972582777102 -3.4056665688314262e-15 3.797894230735145e-15
1739.8684233589117 1.4416895648859266e-15 3.289481777715328e-15
1741.2396016927719 3.0411565262387504e-15 3.413841521792638e-15
1742.6107932477064 2.3163887264423702e-15 3.0878200175302885e-15
1743.981997992129 8.726413936130462e-16 3.0252238028586307e-15
1745.3532158944497 -5.027326096794013e-16 2.9601578577836455e-15
1746.7244469230752 1.0441958880089124e-15 2.9664379299308387e-15
1748.0956910464106 1.348273045000503e-15 2.9670698435835146e-15
1749.4669482328557 -3.2922827453503216e-16 2.9037219063517927e-15
1750.8382184508096 -3.065589484946212e-16 3.262715253987802e-15
1752.209501668667 -8.574283123481503e-16 2.7900904841651353e-15
1753.5807978548191 -1.1914466545646964e-15 2.7065131184342757e-15
1754.952106977656 -4.588974089331338e-16 2.9525174338803833e-15
1756.3234290055627 -1.4308066709115143e-15 2.661969968403113e-15
1757.694763906923 -4.512580582888133e-16 2.686283226665543e-15
1759.0661116501167 -5.9265419394208695e-16 2.694550721570943e-15
1760.4374722035207 -3.991111385070204e-15 2.6229981732556145e-15
1761.8088455355087 -3.3610346406434274e-15 2.717081943028966e-15
1763.1802316144522 -1.6271212168903853e-15 2.593939293652686e-15
1764.5516304087196 -1.3363115939731101e-15 2.5908083465526513e-15
1765.9230418866753 2.7695137205549107e-16 3.192775142752338e-15
1767.2944660166822 2.856677269318521e-16 2.7390670795038947e-15
1768.6659027670994 -3.919051650368529e-16 2.5877274540705085e-15
1770.0373521062832 -8.92957298312348e-16 2.7916928996347366e-15
1771.408814002587 -1.5722861600184559e-15 2.3854555372061843e-15
1772.7802884243615 1.4544324718212801e-16 2.421763254998425e-15
1774.1517753399542 -7.452694774240868e-17 2.4072673117484734e-15
1775.5232747177104 -2.0270606568322187e-15 2.32111693979802e-15
1776.8947865259709 -5.320841215516415e-16 2.50088369940097e-15
1778.2663107330754 -2.1579916107719705e-15 2.508203951030768e-15
1779.63784730736 -5.945894024803618e-15 5.66273807734345e-15
1781.0093962171575 -2.526569448660188e-15 2.3803388882976442e-15
1782.3809574307986 1.2466242014974374e-15 2.2531892357318767e-15
1783.7525309166106 7.636661944410492e-16 2.2197128264239367e-15
1785.1241166429181 6.752213636271611e-17 2.237607645239043e-15
1786.4957145780431 -9.451287540573107e-16 2.1556930204687877e-15
1787.867324690305 -8.53239705584547e-16 2.1154457829953396e-15
1789.2389469480186 7.414209558093146e-16 2.314477924189164e-15
1790.6105813194984 3.7178557746387617e-16 2.1617856576444226e-15
1791.9822277730543 -1.457198840258816e-15 2.8006425541504737e-15
1793.3538862769942 -1.19479889637662e-15 2.0736486863935046e-15
1794.7255567996233 1.9599469730330355e-16 2.0564514794558783e-15
1796.0972393092436 1.077714028776683e-15 2.0742861745127186e-15
1797.4689337741543 9.787460848303907e-16 2.0308175106820694e-15
1798.8406401626517 6.345615894010082e-16 2.1509741640155777e-15
1800.21235844303 1.4173642024501237e-16 2.0274746807310403e-15
1801.58408858358 -5.972324638034139e-16 2.0955636066708987e-15
1802.95583055259 9.430298075568484e-16 2.1763280911430768e-15
1804.3275843183455 2.0426488626231037e-15 2.0295023168707362e-15
1805.699349849129 1.7165396097531072e-15 1.9317830201745034e-15
1807.0711271132216 2.5865712196423517e-15 2.066296374390487e-15
1808.4429160788993 2.071875023565457e-15 1.952703440575255e-15
1809.8147167144373 6.685734489595239e-16 1.8739760261763333e-15
1811.1865289881075 7.478034667413707e-16 1.923265644316485e-15
1812.5583528681793 2.8834220027084086e-16 2.0103178916116664e-15
1813.9301883229189 1.0438073246613448e-15 1.8086895281127358e-15
1815.3020353205895 3.140564608619999e-15 2.3494516307945072e-15
1816.6738938294534 1.5863808880527065e-15 1.8492421179436736e-15
1818.0457638177684 -8.789087332798316e-17 1.7523262014308662e-15
1819.4176452537904 8.483504908464194e-16 1.8135204257686356e-15
1820.7895381057724 1.858897191930493e-15 1.7676436741052205e-15
1822.1614423419646 1.8890444574062297e-15 1.9537236164098114e-15
