# telescope   = tel06
# season      = 2011-2022
# filter      = RG715
# aperture    = 8.000                pix
# deblend     = 0
# lspmname    = J1709+4340
# nltt        = 44290
# hip         = 83945
# ascc        = 416422
# twomass     = 17093153+4340531
# usnob       = 1336-0280975
# ra          = 17:09:31.552         hr
# dec         = +43:40:52.99         deg
# pmra        = 0.331                arcsec/yr
# pmdec       = -0.274               arcsec/yr
# aflag       = S 
# plx         = 0.134597082936454    arcsec
# e_plx       = 0.000489399205367269 arcsec
# r_plx       = 2018A&A...616A...1G
# distmod     = -0.645178238580593   mag
# s_distmod   = T
# bjmag       = 13.7                 mag
# rfmag       = 10.7                 mag
# jmag        = 7.38                 mag
# e_jmag      = 0.019                mag
# q_jmag      = A
# hmag        = 6.757                mag
# e_hmag      = 0.016                mag
# q_hmag      = E
# kmag        = 6.485                mag
# e_kmag      = 0.016                mag
# q_kmag      = A
# vest        = 11.78                mag
# s_vest      = A
# vmjest      = 4.4                  mag
# vmag        = 11.77                mag
# rcmag       = 10.5601              mag
# icmag       = 8.97656              mag
# r_vrimag    = 1984ApJS...55..289W
# spectype    = M3.5
# r_spectype  = 1994AJ....108.1437H
# mass        = 0.285519234786466    Msol
# radius      = 0.302209515191391    Rsol
# null_dc[1]  = 0.000131             mag
# null_dc[2]  = 0.001156             mag
# null_cm     = 0.592843             mag/mag
# null_fwhm_k = -0.002568            mag/pix
# null_fwhm_0 = 2.747000             pix
# null_chidof = 4.238
# null_nfit   = 6807
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2459158.572187   -0.018936    0.007453   2.414 -0.0201  3.150 0.066 1.55041  1022.697  1023.846   -0.00     7.58  7671  1 13 0 0 -0.000940   -0.017474
2459158.572569   -0.027540    0.006471   2.414  0.0067  2.673 0.049 1.55358  1024.359  1026.854    0.00     7.67 11197  1 13 0 0 -0.000955   -0.027295
2459158.572962   -0.013765    0.007348   2.414  0.0034  2.713 0.062 1.55685  1024.802  1025.275    0.00     7.61 11694  1 13 0 0 -0.000970   -0.013408
2459158.573355   -0.003107    0.006470   2.414  0.0112  2.710 0.063 1.56014  1023.961  1022.292   -0.00     7.62 11522  1 13 0 0 -0.000985   -0.002749
2459158.573740   -0.015041    0.006935   2.414 -0.0066  2.846 0.056 1.56338  1024.130  1020.885    0.00     7.49 10937  1 13 0 0 -0.001000   -0.014325
2459158.574124   -0.007238    0.007286   2.414  0.0065  2.835 0.039 1.56663  1024.706  1023.262   -0.00     7.40 10645  1 13 0 0 -0.001015   -0.006542
2459158.588749   -0.006882    0.008527   2.414  0.0000  2.580 0.104 1.70456  1020.344  1020.532    0.01     8.24 10962  1 13 0 0 -0.001754   -0.006401
2459158.589145   -0.010275    0.007784   2.414 -0.0097  2.446 0.029 1.70872  1022.888  1020.528    0.01     8.25 11889  1 13 0 0 -0.001776   -0.010126
2459158.589528   -0.007839    0.008367   2.414  0.0111  2.296 0.045 1.71276  1024.342  1022.925    0.00     8.32 14087  1 13 0 0 -0.001798   -0.008063
2459158.589910    0.004398    0.008209   2.414  0.0144  2.218 0.043 1.71681  1025.279  1027.817    0.00     8.28 15818  1 13 0 0 -0.001819    0.003987
