#WAVELENGTH FLUX
1001.0 4.903242915921666e-17
1002.0 4.90324395951513e-17
1003.0 4.9032450146125126e-17
1004.0 4.9032460953153933e-17
1005.0 4.9032471979471707e-17
1006.0 4.903248322626086e-17
1007.0 4.903249480422474e-17
1008.0 4.903250654253266e-17
1009.0 4.903251850226807e-17
1010.0 4.903253074370398e-17
1011.0 4.9032543123887906e-17
1012.0 4.903255580583197e-17
1013.0 4.9032568596224107e-17
1014.0 4.90325817779187e-17
1015.0 4.903259516472647e-17
1016.0 4.903260870452982e-17
1017.0 4.9032622276185556e-17
1018.0 4.9032635980276906e-17
1019.0 4.9032648839345686e-17
1020.0 4.9032660233981864e-17
1021.0 4.903266866032969e-17
1022.0 4.9032670286875344e-17
1023.0 4.9032657600481886e-17
1024.0 4.903262199045085e-17
1025.0 4.903259228959607e-17
1026.0 4.9032643376267135e-17
1027.0 4.903271257437123e-17
1028.0 4.903276320915456e-17
1029.0 4.903279844845386e-17
1030.0 4.9032826743244126e-17
1031.0 4.903285262092627e-17
1032.0 4.903287574729213e-17
1033.0 4.9032898014841276e-17
1034.0 4.903291975175609e-17
1035.0 4.903294154166904e-17
1036.0 4.9032964115504145e-17
1037.0 4.9032987107787156e-17
1038.0 4.9033010254838575e-17
1039.0 4.9033033401889994e-17
1040.0 4.903305672783536e-17
1041.0 4.9033080586172777e-17
1042.0 4.903310483343296e-17
1043.0 4.903312971114976e-17
1044.0 4.9033154588866574e-17
1045.0 4.903318032629676e-17
1046.0 4.903320652664952e-17
1047.0 4.90332330075334e-17
1048.0 4.9033260427586644e-17
1049.0 4.903328784763988e-17
1050.0 4.903331631950074e-17
1051.0 4.903334552042683e-17
1052.0 4.9033375335608e-17
1053.0 4.90334057897617e-17
1054.0 4.9033436283823425e-17
1055.0 4.903346781325738e-17
1056.0 4.90335001148289e-17
1057.0 4.903353279060701e-17
1058.0 4.9033566428854924e-17
1059.0 4.903360023695045e-17
1060.0 4.903363489930754e-17
1061.0 4.903367004218677e-17
1062.0 4.903370577468542e-17
1063.0 4.903374225760878e-17
1064.0 4.903377946646333e-17
1065.0 4.9033817526793163e-17
1066.0 4.903385617534616e-17
1067.0 4.90338956698165e-17
1068.0 4.903393570288062e-17
1069.0 4.903397674854649e-17
1070.0 4.903401875791004e-17
1071.0 4.903406239445852e-17
1072.0 4.9034106031007e-17
1073.0 4.903415102360591e-17
1074.0 4.903419650665614e-17
1075.0 4.903424353860699e-17
1076.0 4.903429102828657e-17
1077.0 4.903433956951413e-17
1078.0 4.903438944907547e-17
1079.0 4.903443932863681e-17
1080.0 4.903449025871987e-17
1081.0 4.903454177972139e-17
1082.0 4.903459361493327e-17
1083.0 4.9034646787043e-17
1084.0 4.903470116592355e-17
1085.0 4.9034757209416194e-17
1086.0 4.903481358274517e-17
1087.0 4.903487107295396e-17
1088.0 4.90349293535204e-17
1089.0 4.90349890391671e-17
1090.0 4.9035050472539535e-17
1091.0 4.9035112932354074e-17
1092.0 4.903517722507803e-17
1093.0 4.903524201715113e-17
1094.0 4.9035308347434e-17
1095.0 4.903537585118345e-17
1096.0 4.903544481383254e-17
1097.0 4.9035514610345913e-17
1098.0 4.903558598159966e-17
1099.0 4.9035658641277356e-17
1100.0 4.903573243601384e-17
1101.0 4.9035806897372164e-17
1102.0 4.9035881358730486e-17
1103.0 4.9035958453261593e-17
1104.0 4.9036036702206603e-17
1105.0 4.903611721803395e-17
1106.0 4.90361982146179e-17
1107.0 4.903628040655798e-17
1108.0 4.9036365138629823e-17
1109.0 4.903644987070167e-17
1110.0 4.9036538499123563e-17
1111.0 4.903663074416553e-17
1112.0 4.90367229892075e-17
1113.0 4.903681846429236e-17
1114.0 4.903691418249872e-17
1115.0 4.9037012677285654e-17
1116.0 4.903711287384777e-17
1117.0 4.903721410571263e-17
1118.0 4.903731753759581e-17
1119.0 4.9037422202164856e-17
1120.0 4.9037529427706705e-17
1121.0 4.903763915297591e-17
1122.0 4.9037750895282545e-17
1123.0 4.9037864230261287e-17
1124.0 4.9037978213566854e-17
1125.0 4.9038092849129285e-17
1126.0 4.903820875106536e-17
1127.0 4.903832610863433e-17
1128.0 4.9038446333245324e-17
1129.0 4.903856928111989e-17
1130.0 4.9038694207365004e-17
1131.0 4.9038820346159814e-17
1133.0 2.008170877686206e-18
1134.0 6.889208624876176e-17
1135.0 7.567249378286902e-17
1140.0 8.863160154831038e-18
1141.0 3.486007659163567e-17
1148.0 1.0278251275017488e-17
1149.0 2.5901715559522497e-17
1151.0 1.9290695415156287e-17
1152.0 2.741060761778215e-18
1156.0 2.5475963935749096e-17
1157.0 6.0130373629592835e-18
1159.0 9.937941306132453e-18
1162.0 5.189879637621181e-19
1163.0 1.7634398221164372e-17
1164.0 1.1875419557482806e-17
1166.0 2.039056687961543e-17
1167.0 3.784895774354004e-17
1169.0 4.419446295567458e-17
1171.0 1.7655233946021398e-17
1172.0 3.55053234955026e-17
1173.0 1.2211790659153135e-17
1174.0 2.945028411944751e-17
1175.0 2.562857076630719e-16
1176.0 6.412785942782327e-16
1177.0 2.3168559689409567e-17
1181.0 2.458351185387122e-18
1183.0 1.88711219973974e-17
1189.0 2.3833936489939527e-17
1190.0 2.252975118495502e-17
1193.0 1.7089988037844333e-17
1194.0 1.8428310743937206e-17
1197.0 5.656324137346897e-17
1198.0 4.165515072505198e-17
1199.0 1.8787856278598066e-17
1200.0 5.2959358612836675e-17
1201.0 5.690814369512037e-17
1202.0 1.71431871094422e-17
1203.0 1.1158756131843276e-17
1204.0 3.6524561743391295e-17
1205.0 4.96346656149463e-17
1206.0 2.3854899255196146e-16
1207.0 4.634534346025035e-16
1208.0 1.1246842848545102e-15
1209.0 1.9478774006890823e-15
1211.0 5.532344610311421e-16
