Offset(′′) a b c d e f g
-0.06 51.7919 -334.3680 891.0195 -1230.6391 929.1229 -364.0754 57.9600
-0.05 63.8366 -398.6971 1025.9940 -1370.3281 1001.6898 -380.3103 58.6770
-0.04 62.2378 -375.2510 933.2175 -1205.1539 852.2159 -313.0754 46.7286
-0.03 51.9797 -307.4814 754.1308 -962.4167 674.0547 -245.8139 36.5035
-0.02 29.1020 -173.6559 437.9766 -577.0897 419.1689 -159.3072 24.7838
-0.01 9.5418 -54.2876 141.6155 -193.9473 147.0437 -58.5317 9.5605
0.01 3.6207 -14.7231 31.6600 -32.3894 15.3595 -2.2709 -0.2594
0.02 25.2794 -147.5373 362.4186 -460.8562 320.0924 -115.2217 16.8106
0.03 48.2160 -291.2297 727.5100 -942.7146 668.7134 -246.4419 36.9119
0.04 68.5755 -422.2492 1070.8983 -1412.0620 1021.6252 -384.9364 59.0906
0.05 70.4925 -436.0307 1113.0949 -1480.8936 1083.3793 -413.5598 64.4284
0.06 27.8036 -170.0663 436.1630 -580.6800 423.4523 -160.5529 24.7577
