ID     IAUNAME     M2    Teffwd
1122     SDSSJ142226.64+234628.0     0.464    6429
2715     SDSSJ094552.10+403510.6     0.319    6655
612     SDSSJ093427.91+204658.6     0.196    6732
943     SDSSJ121928.05+161158.7     0.196    7131
1274     SDSSJ160117.73+363242.6     0.118    7131
1318     SDSSJ162051.70+343815.3     0.38    7131
1367     SDSSJ170106.10+342533.5     0.149    7131
2939     SDSSJ133152.85+451144.1     0.149    7214
1157     SDSSJ144631.46+095944.9     0.12    7297
14     SDSSJ002143.78-001507.9     0.38    7354
2931     SDSSJ132720.16+454741.6     0.255    7467
1049     SDSSJ132355.29+301827.9     0.118    7554
2227     SDSSJ184412.58+412029.4     0.196    7554
2315     SDSSJ234041.47-110636.8     0.149    7641
691     SDSSJ100609.18+004417.0     0.118    7819
1007     SDSSJ125514.35+115559.9     0.196    7819
1501     SDSSJ222838.35-002951.9     0.319    7819
1319     SDSSJ162324.05+343647.7     0.118    7910
1468     SDSSJ214447.51+004201.5     0.149    7910
2770     SDSSJ103749.02+260456.2     0.118    7910
3012     SDSSJ144003.78+101035.6     0.255    7910
131     SDSSJ015434.31-010611.1     0.255    8001
492     SDSSJ085131.42+003338.7     0.12    8001
2506     SDSSJ074843.23+384218.6     0.319    8001
2567     SDSSJ081113.14+343413.3     0.118    8001
1168     SDSSJ145514.56-022822.2     0.149    8094
1560     SDSSJ232913.04-001105.9     0.118    8094
2968     SDSSJ140526.74+370450.1     0.149    8094
3016     SDSSJ144454.91+425112.7     0.196    8094
3041     SDSSJ150440.87+304716.3     0.149    8094
371     SDSSJ080906.86+442551.1     0.431    8187
781     SDSSJ104459.32+360554.7     0.255    8187
2148     SDSSJ113557.51+010310.4     0.319    8187
619     SDSSJ093556.98+223036.0     0.319    8282
760     SDSSJ103501.26+104222.7     0.38    8282
1039     SDSSJ131954.20+013418.1     0.319    8282
1519     SDSSJ224548.30+220920.5     0.319    8282
1698     SDSSJ085048.85+601523.6     0.149    8282
2109     SDSSJ102256.25+095418.5     0.319    8282
2575     SDSSJ081508.56+415625.3     0.196    8282
1077     SDSSJ134428.42+052454.9     0.118    8378
1207     SDSSJ152359.22+460448.9     0.149    8378
2649     SDSSJ084957.40+464545.9     0.196    8378
272     SDSSJ035912.46-044630.2     0.38    8475
832     SDSSJ111021.03+304737.4     0.118    8475
836     SDSSJ111424.65+334123.7     0.118    8475
1138     SDSSJ143519.16+362952.0     0.319    8475
1202     SDSSJ152245.10+383746.3     0.149    8475
2241     SDSSJ225847.57+071026.5     0.255    8475
3176     SDSSJ213851.04+034027.2     0.171    8475
196     SDSSJ025141.92-004129.9     0.361    8554
344     SDSSJ080029.11+491112.2     0.12    8573
843     SDSSJ111735.12+012939.8     0.149    8573
1019     SDSSJ130022.40+373318.7     0.38    8573
1221     SDSSJ153113.99+250318.1     0.255    8573
1777     SDSSJ122553.02+010356.1     0.255    8573
2534     SDSSJ080135.94+432318.6     0.196    8573
2731     SDSSJ095434.53+281044.7     0.196    8573
3107     SDSSJ161836.79+071301.1     0.118    8573
424     SDSSJ082619.55+333042.6     0.255    8673
1017     SDSSJ125919.51+321935.4     0.38    8673
1893     SDSSJ153924.25+013537.3     0.196    8673
2171     SDSSJ130012.49+190857.4     0.319    8673
127     SDSSJ015225.38-005808.5     0.196    8773
271     SDSSJ035832.98-052830.1     0.319    8773
314     SDSSJ074809.72+492248.7     0.196    8773
496     SDSSJ085224.44+143308.2     0.38    8773
680     SDSSJ100027.25+110140.6     0.255    8773
962     SDSSJ123022.53+390843.8     0.149    8773
1437     SDSSJ205316.52-010616.5     0.38    8773
1930     SDSSJ162552.91+640024.9     0.196    8773
3065     SDSSJ153122.56+455156.3     0.12    8773
807     SDSSJ105853.18+390018.2     0.38    8875
996     SDSSJ124935.08+375132.8     0.319    8875
2686     SDSSJ091925.51+463631.8     0.12    8875
2927     SDSSJ132333.74+192617.3     0.196    8875
2943     SDSSJ133939.48+060750.2     0.255    8875
3101     SDSSJ160820.98+262353.0     0.118    8875
527     SDSSJ090439.84+562141.9     0.215    8944
211     SDSSJ025855.97-011349.7     0.38    8977
751     SDSSJ103024.66+464109.5     0.38    8977
1250     SDSSJ154843.79+372749.7     0.149    8977
1475     SDSSJ220031.65-071507.6     0.149    8977
2125     SDSSJ110738.05+380051.3     0.319    8977
2292     SDSSJ113309.03-012930.6     0.319    8977
2303     SDSSJ145722.85-012121.2     0.319    8977
2703     SDSSJ093804.20+542704.9     0.319    8977
2912     SDSSJ130327.42+313314.1     0.196    8977
3051     SDSSJ151641.54+212343.7     0.12    8977
252     SDSSJ033346.21+005418.5     0.455    9081
1315     SDSSJ161931.74+005730.9     0.12    9081
1866     SDSSJ145642.71+053101.8     0.149    9081
1957     SDSSJ173430.11+335407.5     0.319    9081
2144     SDSSJ112409.43+590935.8     0.319    9081
2909     SDSSJ125925.95+085522.5     0.12    9081
2934     SDSSJ132909.78+245100.8     0.12    9081
2962     SDSSJ140046.52+543449.6     0.149    9081
3060     SDSSJ152706.73+393528.5     0.149    9081
1083     SDSSJ134714.30+412909.6     0.431    9187
1239     SDSSJ154344.05+060135.1     0.255    9187
1375     SDSSJ170624.93+232815.4     0.255    9187
2013     SDSSJ014232.59-083528.4     0.38    9187
2796     SDSSJ105716.14+181531.7     0.118    9187
1660     SDSSJ073059.83+144052.0     0.38    9293
2165     SDSSJ124945.14+495752.7     0.38    9293
2183     SDSSJ135207.77+185033.8     0.38    9293
3102     SDSSJ161040.50+411515.0     0.118    9293
3200     SDSSJ221724.37+235552.8     0.118    9293
112     SDSSJ013504.31-085919.0     0.319    9401
620     SDSSJ093632.33+341932.6     0.319    9401
698     SDSSJ100721.13+300851.5     0.319    9401
1662     SDSSJ073445.66+155448.9     0.319    9401
2273     SDSSJ093011.64+095319.5     0.38    9401
2290     SDSSJ112104.75+602535.0     0.38    9401
2782     SDSSJ104616.52+352558.9     0.149    9401
3159     SDSSJ172619.97+254107.4     0.149    9401
734     SDSSJ102014.53+355320.7     0.287    9456
585     SDSSJ092433.98+204020.0     0.319    9509
1195     SDSSJ151817.97+455334.1     0.464    9509
1300     SDSSJ161234.35+155811.9     0.431    9509
2619     SDSSJ083816.29+125427.3     0.149    9509
2736     SDSSJ095852.72+211027.1     0.149    9509
3044     SDSSJ150815.89+004118.3     0.255    9509
3195     SDSSJ221400.06-002929.1     0.255    9509
44     SDSSJ003731.07+010947.0     0.319    9619
1080     SDSSJ134557.68+330050.6     0.464    9619
1188     SDSSJ151045.70+404827.0     0.431    9619
1201     SDSSJ152121.75+321111.8     0.255    9619
1502     SDSSJ223024.36-004607.4     0.255    9619
1507     SDSSJ223435.22+011248.5     0.319    9619
1889     SDSSJ153314.26+274408.0     0.319    9619
2226     SDSSJ183453.07+413757.7     0.319    9619
2958     SDSSJ135838.33+343419.0     0.319    9619
1277     SDSSJ160132.21+063901.7     0.464    9731
1521     SDSSJ224932.02+000645.7     0.196    9731
2218     SDSSJ162354.45+630640.4     0.319    9731
2308     SDSSJ161551.60+454048.6     0.319    9731
2360     SDSSJ005308.35+085631.6     0.255    9731
2706     SDSSJ094017.35+055743.9     0.149    9731
2821     SDSSJ111750.07+094152.0     0.149    9731
3038     SDSSJ150406.12+563535.1     0.196    9731
312     SDSSJ074805.69+381805.8     0.149    9844
503     SDSSJ085542.49+044717.7     0.196    9844
659     SDSSJ095250.11+324328.8     0.38    9844
896     SDSSJ114720.00+112813.3     0.464    9844
1210     SDSSJ152517.89+362945.2     0.319    9844
1228     SDSSJ153421.88+391550.0     0.319    9844
1288     SDSSJ160821.47+085149.9     0.196    9844
1600     SDSSJ235324.74+351623.2     0.255    9844
2187     SDSSJ141052.79+375435.6     0.464    9844
2326     SDSSJ001744.97+001203.4     0.464    9844
2610     SDSSJ083338.75+395457.1     0.171    9844
2783     SDSSJ104902.59+444111.1     0.255    9844
2983     SDSSJ141804.88+163718.3     0.149    9844
237     SDSSJ032317.00-002612.7     0.464    9958
419     SDSSJ082526.45-010929.2     0.319    9958
