#WAVELENGTH FLUX
1001.06 6.506732960358449e-22
1004.32 7.034808371105283e-22
1005.84 7.285927845488387e-22
1007.58 7.578422112602368e-22
1009.33 7.87118978143043e-22
1011.3 8.19325700061747e-22
1012.82 8.426286394918904e-22
1014.33 8.647468381610173e-22
1015.09 8.744389289251775e-22
1015.84 8.844545450509998e-22
1016.6 8.918774015882902e-22
1017.36 8.953131497952373e-22
1018.11 8.973727760413118e-22
1018.4 8.964751070800803e-22
1018.87 8.956503452426035e-22
1019.33 8.908020215129061e-22
1019.8 8.836343399087576e-22
1020.26 8.738055482875572e-22
1020.41 8.701282952331722e-22
1020.73 8.610149047638161e-22
1021.04 8.500742795053541e-22
1021.36 8.379261300097026e-22
1021.68 8.2297105624948945e-22
1022.0 8.059836964146098e-22
1022.16 7.967609452596215e-22
1022.32 7.876384413997962e-22
1022.48 7.760416520275407e-22
1022.64 7.646225737694377e-22
1022.88 7.467922253161427e-22
1022.96 7.389319260363231e-22
1023.04 7.312447811754213e-22
1023.21 7.161757900343412e-22
1023.38 6.993433578374407e-22
1023.54 6.784691369673807e-22
1023.71 6.585381520108992e-22
1024.04 6.102098423519043e-22
1024.21 5.809558589452715e-22
1024.38 5.491182293405764e-22
1024.54 5.103863198458133e-22
1024.62 4.881542037958194e-22
1024.67 4.719688223222431e-22
1024.7 4.5953360102680685e-22
1024.79 4.290319944649193e-22
1024.85 4.081860251053144e-22
1024.91 3.9147115564546854e-22
1024.95 3.8688757590890595e-22
1024.98 3.8551327662612703e-22
1024.99 3.8550461890518117e-22
1025.01 3.8562354865080625e-22
1025.03 3.857538701345181e-22
1025.04 3.8587553389728396e-22
1025.06 3.8600585538099575e-22
1025.07 3.8613754387327793e-22
1025.09 3.862592076360438e-22
1025.1 3.863895291197556e-22
1025.13 3.8664834940908535e-22
1025.2 3.902631757387554e-22
1025.27 4.0896886534663207e-22
1025.32 4.260856353261765e-22
1025.37 4.45245171779427e-22
1025.47 4.822487267716766e-22
1025.57 5.158270139560188e-22
1025.67 5.448805027723259e-22
1025.77 5.69769172144137e-22
1025.87 5.922473497368035e-22
1025.97 6.132537147686692e-22
1026.07 6.325604324779999e-22
1026.27 6.687132524699351e-22
1026.47 7.009382011695779e-22
1026.66 7.296681646242228e-22
1026.76 7.457168452407587e-22
1026.86 7.614146603242244e-22
1026.97 7.74182520371792e-22
1027.07 7.869458237241252e-22
1027.28 8.131468213235236e-22
1027.48 8.370649146103486e-22
1027.69 8.6018102953587e-22
1028.1 9.03328376713036e-22
1028.51 9.424111517408692e-22
1028.78 9.660102763612665e-22
1028.8 9.673499447602617e-22
1028.92 9.780171683046431e-22
1029.07 9.895364938579091e-22
1029.34 1.0116865893936788e-21
1029.88 1.0517672806779065e-21
1030.42 1.0927593110090699e-21
1030.96 1.1321564980080958e-21
1031.51 1.1671017937628413e-21
1032.0 1.195590252370048e-21
1032.05 1.1984473002821912e-21
1032.59 1.2271544802606627e-21
1033.19 1.2566818653813761e-21
1033.78 1.281857606552972e-21
1034.38 1.3041398462505474e-21
1034.86 1.3251370978919437e-21
1035.56 1.35773569560083e-21
1036.27 1.3929817332410645e-21
1036.97 1.4272161845392002e-21
1037.39 1.4461857068011648e-21
1037.67 1.4577414859163082e-21
1038.37 1.486712954218391e-21
1039.34 1.5228429907341527e-21
1040.19 1.5528488288545074e-21
1040.32 1.5575012146891136e-21
1042.27 1.6255873548856723e-21
1044.35 1.6983942313453573e-21
1047.66 1.8170824721230154e-21
1047.72 1.8194018299974664e-21
1048.51 1.84800420598554e-21
1049.35 1.8792540219049616e-21
1051.04 1.9426103124479246e-21
1051.85 1.973477365967633e-21
1054.35 2.070575984723387e-21
1056.85 2.170568104953161e-21
1059.36 2.275686507321948e-21
1061.86 2.386642036286357e-21
1064.36 2.5018808587713638e-21
1066.86 2.618637060769518e-21
1069.36 2.737266064509125e-21
1071.86 2.8638738416046534e-21
1074.36 2.9948150358683603e-21
1076.29 3.0993592946375777e-21
1076.86 3.1318804285274742e-21
1078.98 3.2558088688250118e-21
1079.36 3.27890220027436e-21
1082.44 3.461046978890144e-21
1085.9 3.6720994320747246e-21
1089.37 3.892525007357038e-21
1091.29 4.023712263163417e-21
1092.83 4.131204703749472e-21
1094.37 4.241130419590844e-21
1095.52 4.325073859204082e-21
1097.45 4.468413821201348e-21
1099.37 4.615795571871773e-21
1102.07 4.8225328346691144e-21
1103.22 4.913211069839206e-21
1103.98 4.973815116460423e-21
1104.37 5.005301880532048e-21
1106.68 5.193949063247718e-21
1106.88 5.210262032187865e-21
1109.38 5.422285061457432e-21
1111.88 5.658048472899672e-21
1114.38 5.9026063061448406e-21
1116.88 6.156323096811711e-21
1118.68 6.345289248193808e-21
1119.38 6.419517813566712e-21
1120.08 6.4945210171295116e-21
1121.47 6.646805771872451e-21
1123.78 6.906127297677977e-21
1124.25 6.959076096304934e-21
1124.73 7.010475618552101e-21
1125.68 7.114277135998067e-21
1125.79 7.12612454360823e-21
1127.08 7.268384568834876e-21
1127.59 7.32579892879182e-21
1127.85 7.354870644389065e-21
1129.38 7.52998444225774e-21
1131.69 7.797599153390379e-21
1134.38 8.11629441810376e-21
1135.54 8.25481795323797e-21
1139.39 8.719828701936861e-21
1144.39 9.333524416143293e-21
1146.89 9.636954751820501e-21
1149.39 9.9341424150262e-21
1151.89 1.0210733815771154e-20
1154.39 1.0470602145004841e-20
1156.89 1.0707003493779936e-20
1159.39 1.0919254357811236e-20
1161.89 1.1110908959381793e-20
1164.39 1.1272124836784701e-20
1165.64 1.1336738775212436e-20
1166.89 1.1394016434312338e-20
1168.14 1.1433978651520463e-20
1169.39 1.1458675939692418e-20
1170.65 1.1467652629304734e-20
1171.9 1.1458539238835379e-20
